Modelo,F1_Base,F1_Optimizado,Δ_F1,Recall_Base,Recall_Optimizado,Δ_Recall
Logistic_Regression,0.6271787912617882,0.615819209039548,-0.011359582222240205,0.7984615384615384,0.7841726618705036,-0.014288876591034838
Random_Forest,0.625244944317371,0.6275115919629057,0.0022666476455347473,0.76,0.7302158273381295,-0.0297841726618705
XGBoost,0.6260466540093953,0.625,-0.001046654009395298,0.7746153846153845,0.7553956834532374,-0.019219701162147107
