Modelo,CV_F1_Mean,CV_F1_Std,CV_Recall_Mean,CV_Recall_Std,CV_Precision_Mean,CV_Precision_Std,CV_ROC_AUC_Mean,CV_ROC_AUC_Std
Logistic_Regression,0.6271787912617882,0.012784527398310614,0.7984615384615384,0.035717497742288905,0.5169013359571565,0.010111797239151517,0.8446373027223422,0.008458120819590612
Random_Forest,0.625244944317371,0.008958837722620508,0.76,0.02965282348830213,0.5317388050957488,0.012763748806360496,0.84639538766026,0.008914879700920095
XGBoost,0.6260466540093953,0.01008147652656975,0.7746153846153845,0.024997041245033713,0.5257567255511902,0.01315399639917686,0.8425937930389914,0.009299713104108062
LightGBM,0.627641835855844,0.015194792082860937,0.7484615384615385,0.023281147616033147,0.5408735391163532,0.018936034087403308,0.8380213342609035,0.009518036773236349
MLP_SMOTE,0.6227487095686326,0.010164025785006739,0.7807692307692307,0.0239575561575345,0.5184080943229196,0.014271192185134415,0.8426774991932255,0.0074939531452433185
